antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
85099B,20712,0.0824891461649783,0.03128458329786329,0.02017536392270367,0.24458204334365324,7.817973505191549,1.0,0.017594725358335787,1.2823568835852055,0.9504951483448469,0.21555252387448837,0.22018588366429936,0.4447400012636633
20712,85099B,0.03128458329786329,0.0824891461649783,0.02017536392270367,0.6448979591836734,7.817973505191549,1.0,0.017594725358335787,2.5837949332135666,0.900253676247705,0.21555252387448837,0.6129723813815747,0.4447400012636633
20724,22355,0.03852047331233507,0.03426406742146931,0.020217927981612326,0.5248618784530387,15.318142822826944,1.0,0.018898059886931568,2.032537253450163,0.9721662383414378,0.3846153846153845,0.508004097685032,0.5574619951271405
22355,20724,0.03426406742146931,0.03852047331233507,0.020217927981612326,0.5900621118012422,15.318142822826944,1.0,0.018898059886931568,2.3454273302532433,0.9678814913788504,0.3846153846153845,0.5736384636176185,0.5574619951271405
22356,20724,0.028688175704435177,0.03852047331233507,0.020388184217246957,0.7106824925816023,18.449474564322834,1.0,0.01928310211064468,3.323267697371723,0.973732524119962,0.4354545454545454,0.6990913489181533,0.6199821302687016
20724,22356,0.03852047331233507,0.028688175704435177,0.020388184217246957,0.5292817679558011,18.449474564322834,1.0,0.01928310211064468,2.0634676079518455,0.9836901235299277,0.4354545454545454,0.5153788718822783,0.6199821302687016
20725,20727,0.05924917000085128,0.051757895632927556,0.02583638375755512,0.4360632183908046,8.425056951376286,1.0,0.022769771400313478,1.6814688016292547,0.9368117595267829,0.30334832583708143,0.4052818589134376,0.467620424984876
20727,20725,0.051757895632927556,0.05924917000085128,0.02583638375755512,0.49917763157894735,8.425056951376286,1.0,0.022769771400313478,1.8784121663037188,0.9294107868327928,0.30334832583708143,0.46763547535588584,0.467620424984876
20725,20728,0.05924917000085128,0.04533072273772027,0.02166510598450668,0.3656609195402299,8.066514219416113,1.0,0.01897929828675804,1.504982597903843,0.9312037652185555,0.26129363449691995,0.3355404897087771,0.42179759592034965
20728,20725,0.04533072273772027,0.05924917000085128,0.02166510598450668,0.4779342723004694,8.066514219416112,1.0,0.01897929828675804,1.8019777589012467,0.9176274296161449,0.26129363449691995,0.44505419389318746,0.42179759592034965
20725,22382,0.05924917000085128,0.044181493147186515,0.02132459351323742,0.35991379310344823,8.146256893229685,1.0,0.01870687671486832,1.4932652766993446,0.9324937131437966,0.2597200622083981,0.33032662340454283,0.42128637632051025
22382,20725,0.044181493147186515,0.05924917000085128,0.02132459351323742,0.4826589595375722,8.146256893229685,1.0,0.01870687671486832,1.818434565249751,0.9177937320940591,0.2597200622083981,0.45007644536131214,0.42128637632051025
20725,22383,0.05924917000085128,0.05111943474929769,0.025623563463011832,0.4324712643678161,8.460016557083657,1.0,0.02259477938320327,1.6719515782645287,0.9373331317109951,0.3023606228026117,0.4018965543021339,0.46686011178424114
22383,20725,0.05111943474929769,0.05924917000085128,0.025623563463011832,0.5012489592006661,8.460016557083657,1.0,0.02259477938320327,1.88621326682634,0.9293023315424758,0.3023606228026117,0.46983725669443716,0.46686011178424114
20725,22384,0.05924917000085128,0.04281944326210947,0.02358048863539627,0.3979885057471264,9.294574506981101,1.0,0.02104347216221774,1.5899705668008872,0.9486150035591466,0.3004338394793926,0.371057539755558,0.4743421653984141
22384,20725,0.04281944326210947,0.05924917000085128,0.02358048863539627,0.5506958250497018,9.294574506981103,1.0,0.02104347216221774,2.093794988891911,0.9323323020572866,0.3004338394793926,0.5223983220395301,0.4743421653984141
20725,85099B,0.05924917000085128,0.0824891461649783,0.02260151528049715,0.38146551724137934,4.6244328493647915,1.0,0.017714101836143283,1.483362495398781,0.833118867991086,0.18971061093247588,0.32585595017948443,0.32772966264545744
85099B,20725,0.0824891461649783,0.05924917000085128,0.02260151528049715,0.2739938080495356,4.6244328493647915,1.0,0.017714101836143283,1.2957889897216421,0.85422124792814,0.18971061093247588,0.228269411198796,0.32772966264545744
20727,20728,0.051757895632927556,0.04533072273772027,0.021409721631054736,0.4136513157894737,9.125186866814923,1.0,0.019063498814630635,1.6281596650083199,0.9390146239896112,0.2829021372328458,0.3858096220588477,0.4429758926365208
20728,20727,0.04533072273772027,0.051757895632927556,0.021409721631054736,0.472300469483568,9.125186866814923,1.0,0.019063498814630635,1.796935660410911,0.9326928437844112,0.2829021372328458,0.4434970477622294,0.4429758926365208
20727,22382,0.051757895632927556,0.044181493147186515,0.020558440452881587,0.3972039473684211,8.990278939762701,1.0,0.018271699341662603,1.5856416157339988,0.9372804075435255,0.27272727272727276,0.3693404675576098,0.4312609332217828
22382,20727,0.044181493147186515,0.051757895632927556,0.020558440452881587,0.4653179190751445,8.990278939762701,1.0,0.018271699341662603,1.7734690168162546,0.9298509493789926,0.27272727272727276,0.43613336882805664,0.4312609332217828
22383,20727,0.05111943474929769,0.051757895632927556,0.024048693283391504,0.4704412989175687,9.089266346027433,1.0,0.021402858914823103,1.790626992680588,0.9379263858769112,0.3050755939524838,0.4415363980954017,0.46753972840615277
20727,22383,0.051757895632927556,0.05111943474929769,0.024048693283391504,0.46463815789473684,9.089266346027433,1.0,0.021402858914823103,1.7724097808676713,0.9385579010842078,0.3050755939524838,0.43579638817471616,0.46753972840615277
20727,22384,0.051757895632927556,0.04281944326210947,0.02221843875031923,0.4292763157894737,10.025266166160929,1.0,0.020002194474898906,1.6771348083476583,0.9493904781756412,0.3070588235294118,0.40374500903405797,0.47408149785497544
22384,20727,0.04281944326210947,0.051757895632927556,0.02221843875031923,0.5188866799204772,10.02526616616093,1.0,0.020002194474898906,1.97093296899437,0.9405247720027098,0.3070588235294118,0.49262607316867274,0.47408149785497544
22383,20728,0.05111943474929769,0.04533072273772027,0.021367157572146078,0.41798501248959197,9.220788622939411,1.0,0.01904987664901668,1.6402829785293245,0.9395802158968308,0.2845804988662131,0.3903490964122553,0.4446732574185049
20728,22383,0.04533072273772027,0.05111943474929769,0.021367157572146078,0.4713615023474178,9.220788622939413,1.0,0.01904987664901668,1.794951690927172,0.9338829975918699,0.2845804988662131,0.4428819421410413,0.4446732574185049
